,year,Price,kms_driven
0,2007,80000,45000
1,2006,425000,40
2,2014,325000,28000
3,2014,575000,36000
4,2012,175000,41000
5,2013,190000,25000
6,2016,830000,24530
7,2015,250000,60000
8,2010,182000,60000
9,2015,315000,30000
10,2014,415000,32000
11,2015,320000,48660
12,2007,80000,45000
13,2006,425000,40
14,2017,1000000,4000
15,2014,500000,16934
16,2016,350000,43000
17,2014,160000,35550
18,2016,350000,43000
19,2016,310000,39522
20,2015,75000,39000
21,2012,100000,55000
22,2012,100000,55000
23,2012,100000,55000
24,2017,190000,72000
25,2016,290000,15975
26,2008,95000,70000
27,2017,180000,23452
28,2014,385000,35522
29,2015,250000,48508
30,2017,180000,15487
31,2013,105000,39000
32,2013,105000,39000
33,2012,650000,82000
34,2018,689999,20000
35,2012,448000,68000
36,2017,549000,32000
37,2012,501000,38000
38,2013,489999,27000
39,2011,280000,33000
40,2015,250000,60000
41,2013,349999,46000
42,2013,284999,46000
43,2015,345000,36000
44,2015,499999,55000
45,2017,235000,16000
46,2010,249999,36000
47,2015,1475000,47000
48,2017,180000,23452
49,2014,385000,35522
50,2015,250000,48508
51,2017,180000,15487
52,2013,105000,39000
53,2013,105000,39000
54,2015,395000,35000
55,2017,220000,30874
56,2017,170000,15000
57,2013,85000,29685
58,2012,175000,41000
59,2013,190000,25000
60,2017,200000,130000
61,2016,830000,24530
62,2017,200000,130000
63,2012,570000,19000
64,2014,315000,60000
65,2010,182000,60000
66,2015,315000,30000
67,2010,110000,41000
68,2012,501000,35000
69,2015,448999,54000
70,2013,1891111,13000
71,2017,235000,16000
72,2011,159500,38200
73,2015,344999,22000
74,2015,344999,22000
75,2014,449999,50000
76,2013,1891111,13500
77,2015,865000,30000
78,2014,699000,50000
79,2013,375000,20000
80,2017,489999,39000
81,2012,224999,30000
82,2019,1200000,3600
83,2009,195000,32000
84,2010,351000,38000
85,2008,160000,45000
86,2009,240000,35000
87,2005,90000,50000
88,2014,415000,32000
89,2011,155000,45863
90,2011,600000,60500
91,2011,189500,12500
92,2013,350000,60000
93,2012,210000,35000
94,2014,390000,35000
95,2012,135000,45000
96,2009,1600000,35000
97,2013,701000,38000
98,2014,265000,18000
99,2015,525000,35000
100,2013,372000,13349
101,2016,635000,29000
102,2014,550000,44000
103,2016,575000,29000
104,2013,485000,42000
105,2012,155000,14000
106,2014,345000,49000
107,2014,325000,42000
108,2012,329500,36200
109,2014,195000,50000
110,2015,251111,55000
111,2014,569999,45000
112,2007,69999,51000
113,2014,299999,19000
114,2009,220000,46000
115,2013,399999,33000
116,2013,372000,13349
117,2015,450000,104000
118,2014,270000,55000
119,2011,350000,33333
120,2012,158400,33600
121,2017,350000,5600
122,2011,179000,41000
123,2007,125000,70000
124,2018,200000,7500
125,2013,299000,45000
126,2015,220000,38000
127,2015,150000,30000
128,2010,285000,35000
129,2016,830000,24330
130,2009,210000,65480
131,2013,340000,41000
132,2006,90000,20000
133,2000,70000,200000
134,2010,289999,70000
135,2012,349999,59000
136,2012,849999,99000
137,2014,749999,46000
138,2015,399999,2800
139,2014,274999,32000
140,2015,984999,22000
141,2014,449999,50000
142,2015,344999,22000
143,2012,224999,45000
144,2018,599999,21000
145,2016,244999,11000
146,2013,399999,41000
147,2017,489999,39000
148,2014,474999,50000
149,2011,499999,66000
150,2018,310000,3000
151,2010,85000,45000
152,2016,245000,7000
153,2010,189500,38500
154,2012,169500,37200
155,2010,159500,43200
156,2013,275000,24800
157,2014,370000,60000
158,2010,168000,45872
159,2011,150000,40000
160,2011,145000,45000
161,2012,98500,38000
162,2014,699000,50000
163,2011,85000,11400
164,2015,575000,42000
165,2014,549000,39000
166,2011,209000,47000
167,2013,185000,27000
168,2015,900000,97200
169,2014,699999,52000
170,2012,224999,30000
171,2011,274999,55000
172,2013,284999,46000
173,2015,599999,30000
174,2012,199999,44000
175,2014,544999,45000
176,2009,199000,31000
177,2016,320000,175430
178,2015,540000,38000
179,2013,340000,37000
180,2008,75000,65000
181,2011,159500,38200
182,2013,1891111,13000
183,2005,49000,7500
184,2016,700000,3350
185,2000,55000,60000
186,2015,448999,54000
187,2017,895000,32000
188,2007,355000,75000
189,2012,565000,62000
190,2006,365000,73000
191,2011,145000,41000
192,2011,210000,35000
193,2013,40000,2200
194,2013,125000,39000
195,2009,135000,45000
196,2006,135000,45000
197,2012,285000,65000
198,2010,145000,54870
199,2010,135000,34580
200,2009,450000,97000
201,2015,375000,25000
202,2013,375000,20000
203,2014,365000,20000
204,2015,500000,18000
205,2012,400000,35000
206,2019,390000,60
207,2012,501000,35000
208,2013,330000,80200
209,2015,580000,3200
210,2012,265000,46000
211,2019,379000,0
212,2015,219000,5000
213,2018,385000,588
214,2011,275000,36000
215,2015,330000,38000
216,2008,110000,45000
217,2006,80000,71200
218,2016,519000,52000
219,2016,730000,29000
220,2015,1475000,47000
221,2009,699000,47000
222,2015,2000000,20000
223,2015,2100000,30000
224,2017,340000,5000
225,2014,390000,35000
226,2014,1400000,31000
227,2016,245000,7000
228,2016,320000,175430
229,2016,320000,175400
